"tract","Name","%_Staying_in_Same_Tract_as_Adults_rP_gP_p75"
24510180100,"Poppleton, Baltimore, MD",0.2176
24510250103,"Violetville, Baltimore, MD",0.2175
24510080102,"Belair - Edison, Baltimore, MD",0.2172
24005440400,"Baltimore, MD",0.2144
24510250401,"Brooklyn, Baltimore, MD",0.2142
24510240200,"Riverside, Baltimore, MD",0.214
24510170100,"Downtown, Baltimore, MD",0.214
24510260202,"Parkside, Baltimore, MD",0.2138
24510150400,"Mondawmin, Baltimore, MD",0.2134
24510280402,"Rognel Heights, Baltimore, MD",0.2131
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.2125
24005440701,"Rosedale, MD",0.2104
24005491000,"Baltimore, MD",0.2104
24005420200,"Dundalk, MD",0.2101
24510270805,"Mid-Govans, Baltimore, MD",0.2096
24510260403,"Cedonia, Baltimore, MD",0.2094
24510010300,"Canton, Baltimore, MD",0.2081
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.2069
24005440200,"Nottingham, MD",0.2065
24005441000,"Baltimore, MD",0.206
24510271001,"Baltimore, MD",0.2057
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.2041
24510220100,"Baltimore, MD",0.2039
24510200400,"Shipley Hill, Baltimore, MD",0.2021
24005400701,"Catonsville, MD",0.202
24005403401,"Pikesville, MD",0.2013
24510271801,"Arlington, Baltimore, MD",0.2013
24027601204,"Elkridge, MD",0.2011
24005451100,"Essex, MD",0.2008
24510140300,"Druid Heights, Baltimore, MD",0.2007
24005420500,"Baltimore, MD",0.2005
24005450800,"Essex, MD",0.2002
24510280404,"Irvington, Baltimore, MD",0.1986
24510280500,"Pleasant View Gardens, Baltimore, MD",0.198
24510271101,"Radnor - Winston, Baltimore, MD",0.1971
24510151300,"Central Park Heights, Baltimore, MD",0.1967
24510200200,"Lexington, Baltimore, MD",0.1967
24510260201,"Frankford, Baltimore, MD",0.1962
24005440600,"Rosedale, MD",0.196
24510130805,"Cold Springs, Baltimore, MD",0.196
24510120700,"Remington, Baltimore, MD",0.1959
24510270200,"Lauraville, Baltimore, MD",0.1958
24510230300,"South Baltimore, Baltimore, MD",0.1952
24005420900,"Dundalk, MD",0.1952
24005491300,"Baltimore, MD",0.1945
24005430900,"Baltimore, MD",0.1944
24005403300,"Lochearn, Pikesville, MD",0.1942
24005420100,"Dundalk, MD",0.1937
24005451600,"Middle River, MD",0.1932
24510060100,"Patterson Park, Baltimore, MD",0.1924
24510060400,"Baltimore, MD",0.1915
24510150600,"NW Community Action, Baltimore, MD",0.1909
24005402305,"Lochearn, Pikesville, MD",0.1907
24510190100,"Franklin Square, Baltimore, MD",0.1906
24510270101,"Arcadia, Baltimore, MD",0.1905
24005400800,"Catonsville, MD",0.1905
24510272004,"Cheswolde, Baltimore, MD",0.19
24005440500,"Nottingham, MD",0.1896
24510271600,"Edgecomb, Baltimore, MD",0.1892
24005440100,"Baltimore, MD",0.189
24510120300,"Harwood, Baltimore, MD",0.1875
24510280401,"Baltimore, MD",0.187
24510280102,"Gwynn Oak, Baltimore, MD",0.1867
24510090800,"East Baltimore Midway, Baltimore, MD",0.1867
24510270302,"Waltherson, Baltimore, MD",0.1864
24510200500,"Mill Hill, Baltimore, MD",0.1863
24005451701,"Middle River, MD",0.186
24005440800,"Rosedale, MD",0.1857
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.1855
24510120600,"Old Goucher, Baltimore, MD",0.1849
24510100100,"Johnson Square, Baltimore, MD",0.1847
24510160700,"Rosemont, Baltimore, MD",0.1845
24005400200,"Catonsville, MD",0.1842
24027601104,"Ellicott City, MD",0.1839
24005403601,"Baltimore, MD",0.1839
24510150500,"Burleith-Leighton, Baltimore, MD",0.1833
24510010200,"Patterson Park, Baltimore, MD",0.1831
24005401000,"Catonsville, MD",0.1813
24510070100,"Baltimore, MD",0.1808
24510150200,"Sandtown-Winchester, Baltimore, MD",0.1806
24005403602,"Baltimore, MD",0.1804
24510020100,"Upper Fells Point, Baltimore, MD",0.1801
24510030200,"Little Italy, Baltimore, MD",0.1799
24510120400,"Barclay, Baltimore, MD",0.1787
24005400400,"Catonsville, MD",0.1783
24510260101,"Cedmont, Baltimore, MD",0.1779
24510080301,"Berea, Baltimore, MD",0.1779
24510130400,"Woodbrook, Baltimore, MD",0.1767
24510070400,"Gay Street, Baltimore, MD",0.1765
24027601103,"West Elkridge, Elkridge, MD",0.1761
24510270804,"Lake Walker, Baltimore, MD",0.1761
24510272005,"Cross Country, Baltimore, MD",0.1758
24510140200,"Upton, Baltimore, MD",0.1753
24510150900,"Windsor Hills, Baltimore, MD",0.1752
24005440900,"Rosedale, MD",0.1752
24510080600,"Broadway East, Baltimore, MD",0.1749
24510160600,"Mosher, Baltimore, MD",0.1734
24510260800,"Baltimore Highlands, Baltimore, MD",0.1729
24510272006,"Glen, Baltimore, MD",0.1727
24510270703,"North Harford Road, Baltimore, MD",0.1724
24510200702,"Saint Joseph's, Baltimore, MD",0.1707
24510270402,"Glenham-Belford, Baltimore, MD",0.1701
24510150100,"Sandtown-Winchester, Baltimore, MD",0.1693
24510130803,"Medfield, Baltimore, MD",0.1692
24510240300,"Riverside, Baltimore, MD",0.1688
24005450504,"Essex, MD",0.1688
24005491401,"Parkville, MD",0.1683
24510180300,"Hollins Market, Baltimore, MD",0.167
24005420702,"Dundalk, MD",0.167
24005400900,"Catonsville, MD",0.1669
24510010100,"Canton, Baltimore, MD",0.1665
24510270501,"Woodring, Baltimore, MD",0.1665
24510150800,"Garwyn Oaks, Baltimore, MD",0.1662
24510130200,"Reservoir Hill, Baltimore, MD",0.1659
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.1641
24510080800,"Broadway East, Baltimore, MD",0.1636
24510060300,"Butchers Hill, Baltimore, MD",0.1631
24510270502,"North Harford Road, Baltimore, MD",0.1619
24510260303,"Claremont - Freedom, Baltimore, MD",0.1617
24510190300,"Mount Clare, Baltimore, MD",0.1612
24510070300,"Milton - Montford, Baltimore, MD",0.1599
24005491402,"Parkville, MD",0.159
24510080200,"Broadway East, Baltimore, MD",0.1587
24005400702,"Baltimore, MD",0.1584
24005411307,"Nottingham, MD",0.1583
24510160801,"Edmondson, Baltimore, MD",0.1581
24510130300,"Penn North, Baltimore, MD",0.1567
24510090400,"Better Waverly, Baltimore, MD",0.1564
24510120500,"Greenmount West, Baltimore, MD",0.1563
24510160400,"Midtown Edmondson, Baltimore, MD",0.1563
24510080700,"Broadway East, Baltimore, MD",0.1553
24510170200,"McCulloh Homes, Baltimore, MD",0.1552
24510180200,"Poppleton, Baltimore, MD",0.155
24005400100,"Catonsville, MD",0.1542
24005450503,"Essex, MD",0.1529
24510060200,"Baltimore, MD",0.1512
24510261100,"Canton, Baltimore, MD",0.1506
24005421000,"Dundalk, MD",0.1505
24005403402,"Pikesville, MD",0.1498
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1494
24510260605,"Medford - Broening, Baltimore, MD",0.1482
24510261000,"Patterson Park, Baltimore, MD",0.148
24510271300,"Roland Park, Baltimore, MD",0.148
24510270102,"Waltherson, Baltimore, MD",0.1475
24005491100,"Baltimore, MD",0.1469
24510271503,"Cross Keys, Baltimore, MD",0.1461
24510280302,"West Forest Park, Baltimore, MD",0.1454
24510160100,"Harlem Park, Baltimore, MD",0.1449
24510080500,"Darley Park, Baltimore, MD",0.144
24510271102,"Mid-Charles, Baltimore, MD",0.143
24510130100,"Reservoir Hill, Baltimore, MD",0.1425
24510271802,"Langston Hughes, Baltimore, MD",0.1425
24510100200,"Baltimore, MD",0.142
24510151200,"Park Circle, Baltimore, MD",0.1414
24510280403,"Westgate, Baltimore, MD",0.1409
24005492101,"Parkville, MD",0.1409
24510260900,"Baltimore, MD",0.14
24005490603,"Baltimore, MD",0.1388
24005490500,"Towson, MD",0.1386
24510070200,"Madison - Eastend, Baltimore, MD",0.1384
24510080302,"Berea, Baltimore, MD",0.1384
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.1376
24005400500,"Catonsville, MD",0.137
24510160300,"Sandtown-Winchester, Baltimore, MD",0.1364
24510160200,"Sandtown-Winchester, Baltimore, MD",0.1324
24510010400,"Canton, Baltimore, MD",0.1287
24510170300,"Upton, Baltimore, MD",0.125
24510090900,"Oliver, Baltimore, MD",0.1244
24510210200,"Pigtown, Baltimore, MD",0.1239
24510250102,"Yale Heights, Baltimore, MD",0.1237
24510150300,"Coppin Heights, Baltimore, MD",0.122
24510020200,"Upper Fells Point, Baltimore, MD",0.1216
24510271200,"Homeland, Baltimore, MD",0.1213
24510120201,"Baltimore, MD",0.1174
24510080400,"Broadway East, Baltimore, MD",0.1174
24510020300,"Fells Point, Baltimore, MD",0.1169
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.1096
24510280301,"Gwynn Oak, Baltimore, MD",0.1042
24510230200,"South Baltimore, Baltimore, MD",0.1027
24510010500,"Upper Fells Point, Baltimore, MD",0.1023
24510040200,"Downtown, Baltimore, MD",0.1004
