"tract","Name","%_Staying_in_Same_Tract_as_Adults_rP_gP_p25"
24005452400,"Dundalk, MD",0.2418
24510240100,"Locust Point, Baltimore, MD",0.2416
24510260101,"Cedmont, Baltimore, MD",0.2406
24510151200,"Park Circle, Baltimore, MD",0.2402
24510210200,"Pigtown, Baltimore, MD",0.24
24510260203,"Frankford, Baltimore, MD",0.2395
24005440701,"Rosedale, MD",0.2393
24510270805,"Mid-Govans, Baltimore, MD",0.2392
24510250101,"Beechfield, Baltimore, MD",0.2388
24510130300,"Penn North, Baltimore, MD",0.2386
24510260302,"Belair - Edison, Baltimore, MD",0.238
24510080500,"Darley Park, Baltimore, MD",0.2379
24510090800,"East Baltimore Midway, Baltimore, MD",0.2379
24005451701,"Middle River, MD",0.2378
24005491300,"Baltimore, MD",0.2378
24005451900,"Edgemere, MD",0.2376
24510271002,"Winston - Govans, Baltimore, MD",0.2369
24510200400,"Shipley Hill, Baltimore, MD",0.2368
24005441000,"Baltimore, MD",0.2358
24027601204,"Elkridge, MD",0.235
24510260900,"Baltimore, MD",0.2345
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.2332
24510180100,"Poppleton, Baltimore, MD",0.2314
24510280404,"Irvington, Baltimore, MD",0.2314
24510260303,"Claremont - Freedom, Baltimore, MD",0.2312
24510280302,"West Forest Park, Baltimore, MD",0.2311
24510270803,"Loch Raven, Baltimore, MD",0.2307
24005421102,"Dundalk, MD",0.2301
24005451200,"Middle River, MD",0.2297
24510150800,"Garwyn Oaks, Baltimore, MD",0.2292
24510151000,"Dorchester, Baltimore, MD",0.2288
24510150701,"Hanlon Longwood, Baltimore, MD",0.2288
24510150600,"NW Community Action, Baltimore, MD",0.2283
24510090500,"Better Waverly, Baltimore, MD",0.2271
24005403601,"Baltimore, MD",0.2271
24510240400,"Riverside Park, Baltimore, MD",0.2268
24005430900,"Baltimore, MD",0.2262
24510250103,"Violetville, Baltimore, MD",0.2256
24005420302,"Dundalk, MD",0.2252
24510250205,"Lakeland, Baltimore, MD",0.2252
24510060400,"Baltimore, MD",0.2249
24510200800,"Irvington, Baltimore, MD",0.2248
24510200702,"Saint Joseph's, Baltimore, MD",0.2247
24005450200,"Essex, MD",0.2242
24005420301,"Dundalk, MD",0.2231
24510120300,"Harwood, Baltimore, MD",0.2227
24510160600,"Mosher, Baltimore, MD",0.2225
